lesson_id	topic_id	course_id	menu_order	post_status	post_name	content_len	title_len
864	863	732	1	publish	vision-adn-de-la-chapelle-comprendre-la-mission-prophetique-de-ta-maison-spirituelle	1207	89
865	863	732	3	publish	les-principes-du-royaume-marcher-selon-les-lois-spirituelles-qui-gouvernent-la-croissance-dans-le-royaume	2346	107
866	863	732	4	publish	vie-communautaire-appartenance-trouver-ta-place-dans-la-maison-te-connecter-a-la-famille-entrer-dans-lalliance	2608	117
1095	1094	736	1	publish	1-1-quest-ce-que-naitre-de-nouveau	570	39
1096	1094	736	2	publish	1-2-le-coeur-de-lhomme-et-le-besoin-de-redemption	359	51
1097	1094	736	3	publish	1-3-loeuvre-du-salut-par-la-croix-et-la-resurrection	375	54
1098	1094	736	4	publish	1-4-les-fruits-de-la-conversion-veritable	380	43
1099	1094	736	5	publish	1-5-activites-pratiques-activation	481	38
1101	1100	736	1	publish	2-1-le-symbole-et-la-puissance-du-bapteme	341	43
1102	1100	736	2	publish	2-2-renoncer-a-lancienne-vie-pour-revetir-christ	382	51
1103	1100	736	3	publish	2-3-la-declaration-de-foi-comme-acte-prophetique	250	50
1104	1100	736	4	publish	2-4-activites-cours-bapteme-confession-integration-cellule	350	64
1106	1105	736	1	publish	3-1-pourquoi-lire-la-bible	324	30
1107	1105	736	2	publish	3-2-comment-mediter-efficacement	250	36
1108	1105	736	3	publish	3-3-lesprit-saint-et-leclairage-des-ecritures	287	49
1109	1105	736	4	publish	3-4-activites-journal-etude-en-groupe-suivi	348	49
1111	1110	736	1	publish	4-1-les-differents-types-de-priere	558	36
1112	1110	736	2	publish	4-2-le-jeune-qui-libere-la-puissance-spirituelle	292	50
1113	1110	736	3	publish	4-3-limportance-de-la-constance	331	34
1114	1110	736	4	publish	4-4-activites-plan-de-priere-veille-jeune	438	47
1116	1115	736	1	publish	5-1-la-diversite-des-ministeres	516	33
1117	1115	736	2	publish	5-2-servir-avec-le-coeur-du-royaume	247	36
1118	1115	736	3	publish	5-3-le-service-chemin-de-croissance-et-de-gloire	264	52
1119	1115	736	4	publish	5-4-activites-test-de-dons-ministere-coaching	388	51
1121	1120	736	1	publish	6-1-la-mission-selon-le-coeur-de-dieu	241	38
1122	1120	736	2	publish	6-2-la-maturite-spirituelle-fruits-sagesse-stabilite	424	58
1123	1120	736	3	publish	6-3-vivre-lonction-et-la-consecration	244	40
1124	1120	736	4	publish	6-4-activites-mentorat-mission-enseignement	409	49
1125	1120	736	5	publish	6-5-%f0%9f%8e%93-validation-finale-engagement-de-disciple-actif	711	56
869	868	867	1	publish	les-principes-fondamentaux-du-royaume	3597	37
870	868	867	1	publish	les-fondations-de-la-foi	1555	24
871	868	867	1	publish	la-preparation-au-bapteme	1427	25
872	868	867	2	publish	la-priere-le-souffle-de-ta-vie-spirituelle	1451	44
873	868	867	3	publish	la-parole-de-dieu-nourriture-du-disciple	1512	42
874	868	867	4	publish	le-saint-esprit-la-puissance-pour-marcher-droit	3122	49
875	868	867	5	publish	mes-premiers-pas-dans-la-communaute	3455	35
878	877	876	1	publish	la-naissance-dune-destinee	995	27
881	880	879	1	publish	comment-dieu-forme-un-leader-royal	212	34
